categoria, nombre, pistas, conflictos, tiempo(ms)
facil,s01a.txt,33,0,23
facil,s01b.txt,36,0,24
facil,s01c.txt,32,0,54
facil,s02a.txt,30,0,448
facil,s02b.txt,28,0,33
facil,s02c.txt,28,0,44
facil,s03a.txt,28,0,7601
facil,s03b.txt,26,2,239423
facil,s03c.txt,27,0,112923
facil,s04a.txt,28,0,40
facil,s04b.txt,27,0,16246
facil,s04c.txt,28,2,238933
facil,s05a.txt,30,0,94439
facil,s05b.txt,28,2,246045
facil,s05c.txt,26,0,153590
facil,s06a.txt,36,0,24
facil,s06b.txt,39,0,24
facil,s06c.txt,36,0,20
facil,s07a.txt,25,0,704219
facil,s07b.txt,25,0,43
facil,s07c.txt,25,0,42
facil,s08a.txt,22,0,315807
facil,s08b.txt,23,0,441205
facil,s08c.txt,22,0,39878
facil,s09a.txt,23,2,605066
facil,s09b.txt,22,2,361910
facil,s09c.txt,22,0,236981
facil,s10a.txt,31,0,40
facil,s10b.txt,31,0,28
facil,s10c.txt,32,0,29
facil,s11a.txt,28,0,30072
facil,s11b.txt,26,0,4896
facil,s11c.txt,28,2,245127
facil,s12a.txt,22,2,552501
facil,s12b.txt,26,0,63885
